Название;Разделы
"доцент кафедры ""Прикладная математика"" НГТУ";
"доцент кафедры ""Программные системы и базы данных"" НГТУ";
"cт.преподаватель кафедры ""Прикладная математика"" НГТУ";
WEB-программист;
Аналитик;
"ассистент кафедры ""Прикладная математика"" НГТУ";
Директор;
Директор Центра информатизации;
Инженер;
Преподаватель;
Программист;
Руководитель отдела разработок;
