Название кафедры;Разделы
Кафедра АиМЛ (Кафедра алгебры и математической логики);
Кафедра ВМ (Кафедра высшей математики );
Кафедра вычислительных технологий;
Кафедра ИМ (Кафедра инженерной математики);
Кафедра ПВТ (Кафедра параллельных вычислительных технологий);
Кафедра ПМТ (Кафедра прикладной математики);
Кафедра ТПИ (теоретической и прикладной информатики);
