Название;Разделы
Алгебра и геометрия;
Базы данных и экспертные системы;
Безопасность жизнедеятельности;
Дискретная математика;
Интеллектуальные системы;
Компьютерная графика;
Компьютерные сети;
Математические модели в естествознании;
Математический анализ;
Математическое моделирование управляемых систем;
Метод конечных элементов;
Методы оптимизации;
Операционные системы;
Основы экономических знаний;
Разработка объектно-ориентированных программ с использованием С#/C++;
Системное и прикладное программное обеспечение;
Современные технологии программирования;
Структуры данных и алгоритмы;
Теория вероятностей;
Уравнения математической физики;
Экономика и управление производственными системами;
